Temperature,Formula,ZT
600,Pb1.0005Zn0.01Te1.01I0.001,1.0597643655815625
350,Na0.012Pb0.958Cd0.03Te1,0.1739418179172885
400,Na0.012Pb0.958Cd0.03Te1,0.2975934337377484
450,Na0.012Pb0.958Cd0.03Te1,0.4729812429958788
500,Na0.012Pb0.958Cd0.03Te1,0.6910784371873622
550,Na0.012Pb0.958Cd0.03Te1,0.9290032230027956
600,Na0.012Pb0.958Cd0.03Te1,1.159655381173385
650,Na0.012Pb0.958Cd0.03Te1,1.363914228519107
700,Na0.012Pb0.958Cd0.03Te1,1.5322898854081584
750,Na0.012Pb0.958Cd0.03Te1,1.6502598762574787
350,Pb1.00085Te0.75S0.15Se0.1Cl0.0017,0.2132710233875052
400,Pb1.00085Te0.75S0.15Se0.1Cl0.0017,0.3164772107855673
450,Pb1.00085Te0.75S0.15Se0.1Cl0.0017,0.4350184240241189
500,Pb1.00085Te0.75S0.15Se0.1Cl0.0017,0.5565216981804179
550,Pb1.00085Te0.75S0.15Se0.1Cl0.0017,0.6733336669643244
600,Pb1.00085Te0.75S0.15Se0.1Cl0.0017,0.7832595930019975
650,Pb1.00085Te0.75S0.15Se0.1Cl0.0017,0.8857996083028703
700,Pb1.00085Te0.75S0.15Se0.1Cl0.0017,0.9764908443706544
750,Pb1.00085Te0.75S0.15Se0.1Cl0.0017,1.0419012832117298
800,Pb1.00085Te0.75S0.15Se0.1Cl0.0017,1.058704415135653
850,Pb1.00085Te0.75S0.15Se0.1Cl0.0017,1.001477953341018
300,Pb1S0.9973Cl0.0027,0.0768273045687963
350,Pb1S0.9973Cl0.0027,0.1440334049848614
400,Pb1S0.9973Cl0.0027,0.2225478532247899
450,Pb1S0.9973Cl0.0027,0.3050123102727684
500,Pb1S0.9973Cl0.0027,0.3848861648678833
550,Pb1S0.9973Cl0.0027,0.4571825735024303
600,Pb1S0.9973Cl0.0027,0.5185592882149146
650,Pb1S0.9973Cl0.0027,0.5671580953194502
700,Pb1S0.9973Cl0.0027,0.6024905955297121
750,Pb1S0.9973Cl0.0027,0.625816991072666
800,Pb1S0.9973Cl0.0027,0.6417254688003516
850,Pb1S0.9973Cl0.0027,0.6613528590916419
350,Na0.005Pb0.995Se1,0.0732324267222555
400,Na0.005Pb0.995Se1,0.127925135746482
450,Na0.005Pb0.995Se1,0.1958110501663878
500,Na0.005Pb0.995Se1,0.2786715157251558
550,Na0.005Pb0.995Se1,0.3808602337534675
600,Na0.005Pb0.995Se1,0.5063665051393842
650,Na0.005Pb0.995Se1,0.6537402028907996
700,Na0.005Pb0.995Se1,0.8087523755686088
750,Na0.005Pb0.995Se1,0.9380428942843154
800,Na0.005Pb0.995Se1,0.9928594732684336
350,Pb1Te1Cl0.01,0.0436269389368469
400,Pb1Te1Cl0.01,0.0703798340604057
450,Pb1Te1Cl0.01,0.1042527662240456
500,Pb1Te1Cl0.01,0.1488906412817541
550,Pb1Te1Cl0.01,0.2063972323865007
600,Pb1Te1Cl0.01,0.2769642461461165
650,Pb1Te1Cl0.01,0.3598063702410211
700,Pb1Te1Cl0.01,0.4530165558875778
300,Pb1Te0.2Se0.8,0.0412731550820868
350,Pb1Te0.2Se0.8,0.0728729243114203
400,Pb1Te0.2Se0.8,0.1319079431790819
450,Pb1Te0.2Se0.8,0.2197710199612548
500,Pb1Te0.2Se0.8,0.3247636349300783
550,Pb1Te0.2Se0.8,0.4323978780917422
600,Pb1Te0.2Se0.8,0.535196574655776
650,Pb1Te0.2Se0.8,0.6291316857070354
700,Pb1Te0.2Se0.8,0.7052902113424735
750,Pb1Te0.2Se0.8,0.7448813100040051
800,Pb1Te0.2Se0.8,0.7247018253244254
350,Na0.07Pb0.93Te0.85Se0.15,0.1731046030723927
400,Na0.07Pb0.93Te0.85Se0.15,0.3647341582183879
450,Na0.07Pb0.93Te0.85Se0.15,0.5968020149291662
500,Na0.07Pb0.93Te0.85Se0.15,0.7586385174470304
550,Na0.07Pb0.93Te0.85Se0.15,0.8913150056649926
600,Na0.07Pb0.93Te0.85Se0.15,1.044236640656545
650,Na0.07Pb0.93Te0.85Se0.15,1.1795574936310982
700,Na0.07Pb0.93Te0.85Se0.15,1.192930269391688
350,Pb1Te0.996I0.004,0.0759896789062076
400,Pb1Te0.996I0.004,0.130537439969499
450,Pb1Te0.996I0.004,0.2171392376336144
500,Pb1Te0.996I0.004,0.3209427774228854
550,Pb1Te0.996I0.004,0.4315359796449621
600,Pb1Te0.996I0.004,0.5493626828529515
650,Pb1Te0.996I0.004,0.6826613100346365
700,Pb1Te0.996I0.004,0.8373729808228023
750,Pb1Te0.996I0.004,1.001598149321158
350,Pb1Te0.9993I0.0007,0.4228759479252528
400,Pb1Te0.9993I0.0007,0.5578518827493553
450,Pb1Te0.9993I0.0007,0.721279538529647
500,Pb1Te0.9993I0.0007,0.8851653799003365
550,Pb1Te0.9993I0.0007,1.0319725804485524
600,Pb1Te0.9993I0.0007,1.1506225299983754
650,Pb1Te0.9993I0.0007,1.2274687341398802
700,Pb1Te0.9993I0.0007,1.2405557368499318
750,Pb1Te0.9993I0.0007,1.1658163350012711
350,In0.005Sn0.995Te0.9925I0.0075,0.0795525973967294
400,In0.005Sn0.995Te0.9925I0.0075,0.0943735405857729
450,In0.005Sn0.995Te0.9925I0.0075,0.1178972955903655
500,In0.005Sn0.995Te0.9925I0.0075,0.1467507023115408
550,In0.005Sn0.995Te0.9925I0.0075,0.1822401697924157
600,In0.005Sn0.995Te0.9925I0.0075,0.2283324258970218
650,In0.005Sn0.995Te0.9925I0.0075,0.2864171643875031
700,In0.005Sn0.995Te0.9925I0.0075,0.3459726057302886
350,Na0.007Pb0.993Se1,0.0471494692258176
400,Na0.007Pb0.993Se1,0.0817928720461835
450,Na0.007Pb0.993Se1,0.1319909038800157
500,Na0.007Pb0.993Se1,0.2042294713627603
550,Na0.007Pb0.993Se1,0.3048578155963251
600,Na0.007Pb0.993Se1,0.4375689088058547
650,Na0.007Pb0.993Se1,0.6002890436636145
700,Na0.007Pb0.993Se1,0.7821012891073568
750,Na0.007Pb0.993Se1,0.9619609822979776
800,Na0.007Pb0.993Se1,1.1128959255127644
300,Pb1.005Te0.5Se0.5I0.01,0.0473358021677189
350,Pb1.005Te0.5Se0.5I0.01,0.0744976304921468
400,Pb1.005Te0.5Se0.5I0.01,0.1148890809430944
450,Pb1.005Te0.5Se0.5I0.01,0.1732022138769623
500,Pb1.005Te0.5Se0.5I0.01,0.2598986886048953
550,Pb1.005Te0.5Se0.5I0.01,0.379186889875628
600,Pb1.005Te0.5Se0.5I0.01,0.5044033825877798
300,Na0.02Pb0.95Cd0.03Te1,0.1064708852521069
350,Na0.02Pb0.95Cd0.03Te1,0.184980596153435
400,Na0.02Pb0.95Cd0.03Te1,0.3333489496513831
450,Na0.02Pb0.95Cd0.03Te1,0.5383991918987585
500,Na0.02Pb0.95Cd0.03Te1,0.7706861071937497
550,Na0.02Pb0.95Cd0.03Te1,1.004680012449391
600,Na0.02Pb0.95Cd0.03Te1,1.2184942260297102
